country,year,total_energy_twh,per_capita_energy_kwh,renewable_share_pct,fossil_dependency_pct,industrial_energy_pct,household_energy_pct,carbon_emissions_mt,energy_price,renewable_ratio,fossil_ratio,other_sector_pct,pollution_score,green_dominance
Russia,2007,5475.2,39972.63,59.56,54.76,26.93,29.84,2386.44,0.37,0.60,0.55,43.23,0.4359,1.09
Canada,2024,6405.3,24986.91,74.26,24.46,40.45,17.06,4443.59,0.24,0.74,0.24,42.49,0.6937,3.08
Japan,2006,5266.09,23892.61,82.65,65.61,47.11,32.53,1275.67,0.06,0.83,0.66,20.36,0.2422,1.26
Canada,2014,4397.36,29185.62,24.58,71.75,32.65,27.45,4014.48,0.48,0.25,0.72,39.90,0.9129,0.35
India,2020,2000.56,11360.14,54.96,14.15,25.22,24.43,3573.96,0.11,0.55,0.14,50.35,1.7865,3.93
India,2002,4933.37,26539.16,11.66,64.07,51.94,30.78,121.48,0.08,0.12,0.64,17.28,0.0246,0.19
Russia,2016,4072.03,1046.79,15.21,69.7,54.33,26.57,2838.51,0.43,0.15,0.70,19.10,0.6971,0.21
Brazil,2010,7976.08,24040.2,60.62,79.41,31.06,32.96,3591.89,0.07,0.61,0.79,35.98,0.4503,0.77
Germany,2008,7659.68,17134.53,46.36,26.63,36.83,35.75,824.23,0.36,0.46,0.27,27.42,0.1076,1.70
Russia,2004,1426.59,33906.05,69.46,35.97,23.28,34.02,2682.9,0.47,0.69,0.36,42.70,1.8806,1.92
Australia,2024,976.34,32098.5,41.18,77.63,29.11,19.23,1555.19,0.23,0.41,0.78,51.66,1.5929,0.53
China,2009,9090.72,19351.38,15.85,16.58,50.68,39.28,3496.45,0.08,0.16,0.17,10.04,0.3846,0.94
Germany,2014,5401.53,860.01,79.12,46.66,34.61,29.49,2723.69,0.15,0.79,0.47,35.90,0.5042,1.68
Germany,2013,8592.23,12987.54,12.05,45.47,44.19,19.7,3126.22,0.48,0.12,0.45,36.11,0.3638,0.27
Australia,2003,675.7,31850.72,21.06,52.46,57.85,11.28,409.07,0.26,0.21,0.52,30.87,0.6054,0.40
Australia,2020,5312.5,4082.48,28.54,33.16,48.95,39.64,732.09,0.29,0.29,0.33,11.41,0.1378,0.88
USA,2019,5440.32,5828.3,89.6,74.81,38.14,27.97,2782.84,0.12,0.90,0.75,33.89,0.5115,1.20
Russia,2001,8620.95,32528.23,40.43,28.9,34.68,16.83,946.81,0.46,0.40,0.29,48.49,0.1098,1.38
Australia,2011,1066.34,37910.49,47.65,55.48,27.62,24.73,2518.52,0.28,0.48,0.55,47.65,2.3618,0.87
India,2000,2480.41,16416.71,70.42,44.71,50.25,21.93,3465.65,0.29,0.70,0.45,27.82,1.3972,1.56
Japan,2023,4124.73,24738.82,59.1,28.67,24.5,38.54,4058.37,0.31,0.59,0.29,36.96,0.9839,2.03
China,2019,8671.83,47312.71,76.52,23.22,22.46,24.78,757.88,0.4,0.77,0.23,52.76,0.0874,3.35
Russia,2004,9394.94,47304.41,46.35,76.96,24.19,24.54,3722.3,0.14,0.46,0.77,51.27,0.3962,0.60
UK,2005,9927.97,15721.39,87.64,49.29,29.72,33.84,1847.77,0.47,0.88,0.49,36.44,0.1861,1.80
India,2023,9596.02,40594.4,72.73,52.29,45.08,21.73,3410.72,0.13,0.73,0.52,33.19,0.3554,1.40
Brazil,2010,158.82,29900.23,39.12,64.8,54.45,15.9,769.16,0.14,0.39,0.65,29.65,4.8430,0.60
Australia,2007,572.31,48786.48,37.41,15.69,59.7,33.05,2600.12,0.06,0.37,0.16,7.25,4.5432,2.31
UK,2006,1561.31,24141.87,84.01,59.96,49.26,37.3,4195.93,0.06,0.84,0.60,13.44,2.6874,1.40
Australia,2003,3553.73,38847.99,63.18,21.56,25.84,11.37,576.84,0.24,0.63,0.22,62.79,0.1623,2.86
Germany,2005,8316.19,38522.79,57.82,61.83,31.11,35.8,4147.02,0.13,0.58,0.62,33.09,0.4987,0.94
India,2015,8937.3,25122.93,69.42,19.89,25.28,23.14,2291.2,0.15,0.69,0.20,51.58,0.2564,3.45
Germany,2019,1949.66,39883.69,52.67,68.27,24.62,18.67,4125.19,0.49,0.53,0.68,56.71,2.1159,0.78
USA,2014,6234.68,13421.5,18.53,57.67,42.71,11.18,4794.02,0.47,0.19,0.58,46.11,0.7689,0.33
Germany,2013,9181.88,6551.53,32.13,37.01,56.27,16.17,840.28,0.2,0.32,0.37,27.56,0.0915,0.86
USA,2022,4690.94,21545.61,52.43,35.12,47.37,19.99,3389.12,0.2,0.52,0.35,32.64,0.7225,1.49
USA,2011,1125.08,47209.72,6.54,20.43,52.03,12.12,1213.73,0.18,0.07,0.20,35.85,1.0788,0.35
UK,2011,4632.36,25286.86,42.17,73.28,40.32,15.66,720.99,0.45,0.42,0.73,44.02,0.1556,0.58
Australia,2015,3820.37,31945.33,69.24,18.3,39.01,32.11,3159.01,0.09,0.69,0.18,28.88,0.8269,3.83
Brazil,2014,5818.81,31396.04,18.96,43.05,57.5,30.61,584.52,0.31,0.19,0.43,11.89,0.1005,0.44
Germany,2012,4442.72,7062.36,10.49,26.56,48.88,33.1,2352.6,0.13,0.10,0.27,18.02,0.5295,0.37
India,2010,271.72,19819.7,76.06,79.74,38.37,14.96,3197.97,0.39,0.76,0.80,46.67,11.7694,0.95
USA,2016,9940.58,35493.48,57.47,51.01,33.3,11.29,2523.17,0.33,0.57,0.51,55.41,0.2538,1.12
Australia,2020,5481.05,48613.51,20.01,20.47,23.73,24.06,3500.49,0.22,0.20,0.20,52.21,0.6387,1.00
China,2014,4788.94,8816.88,73.54,56.73,52.84,20.28,4016.99,0.09,0.74,0.57,26.88,0.8388,1.30
Russia,2013,9550.71,20816.87,60.94,79.41,26.77,33.3,4367.62,0.4,0.61,0.79,39.93,0.4573,0.77
UK,2009,1643.02,5207.14,33.4,52.35,40.6,26.16,2821.37,0.08,0.33,0.52,33.24,1.7172,0.63
Brazil,2011,1973.45,12497.63,36.98,42.02,45.49,37.94,1419.32,0.17,0.37,0.42,16.57,0.7192,0.88
Canada,2015,8099.35,19149.59,18.25,30.53,49.76,11.84,2572.83,0.16,0.18,0.31,38.40,0.3177,0.58
UK,2014,2682.23,27261.84,76,16.45,23.33,20.91,1969.06,0.31,0.76,0.16,55.76,0.7341,4.75
China,2009,8012.35,11913.06,48.27,25.98,20.43,22.16,1168.33,0.28,0.48,0.26,57.41,0.1458,1.85
Russia,2003,2788.18,11764.35,52.35,48.75,48.24,13.78,2668.88,0.18,0.52,0.49,37.98,0.9572,1.06
China,2022,428.56,39002.58,80.1,62.76,38.18,27.49,162.14,0.24,0.80,0.63,34.33,0.3783,1.27
Germany,2008,5218.45,48150.76,6.35,71.46,27.25,11.21,3047.55,0.25,0.06,0.71,61.54,0.5840,0.08
USA,2020,2047.2,16518.84,10.69,65.56,59.28,31.38,4116.94,0.31,0.11,0.66,9.34,2.0110,0.17
Brazil,2019,7602.68,34555.6,18.73,18.78,51.65,11.12,4997.21,0.45,0.19,0.19,37.23,0.6573,1.00
Japan,2008,6447.88,13274.98,7.55,64.14,43.14,36.2,4612.31,0.11,0.08,0.64,20.66,0.7153,0.13
USA,2020,9243.67,46433.64,60.94,50.71,48.08,11.95,494.59,0.3,0.61,0.51,39.97,0.0535,1.20
Japan,2024,7851.58,33808.67,58.88,42.84,26.2,23.69,854.03,0.06,0.59,0.43,50.11,0.1088,1.37
Russia,2023,1889.68,40232.5,22.92,50.09,58.49,14.66,736.29,0.36,0.23,0.50,26.85,0.3896,0.46
Australia,2019,8021.57,2943.03,17.7,10.57,59.85,13.99,2813.84,0.34,0.18,0.11,26.16,0.3508,1.64
Canada,2010,6453.2,30126.05,17.38,14.74,45.94,31.64,277.38,0.36,0.17,0.15,22.42,0.0430,1.13
India,2010,6722.62,26616.81,86.03,46.81,46.73,33.23,4688.11,0.26,0.86,0.47,20.04,0.6974,1.83
USA,2006,8339.4,15003.35,63.95,22.15,48.18,32.18,356.09,0.13,0.64,0.22,19.64,0.0427,2.91
Brazil,2020,5780.86,13490.28,54.76,48.19,46.63,22.12,1986.69,0.25,0.55,0.48,31.25,0.3437,1.15
China,2009,4713.43,29211.23,32.41,34.79,37.54,39.72,4475.15,0.06,0.32,0.35,22.74,0.9494,0.91
Brazil,2003,6402.75,35471.04,41.81,73.52,41.63,20.2,4744.47,0.22,0.42,0.74,38.17,0.7410,0.57
Russia,2004,3049.78,2142.05,12.6,76.48,31.31,17.36,2353.19,0.43,0.13,0.76,51.33,0.7716,0.17
Japan,2004,1907.71,28586.38,89.84,78.58,37.87,39.9,2467.74,0.2,0.90,0.79,22.23,1.2936,1.14
China,2010,6204.22,8937.75,69.18,72.93,37.44,39.32,3199.08,0.32,0.69,0.73,23.24,0.5156,0.95
India,2008,2415.1,7447.96,57.82,79.01,31.53,27.76,2067.81,0.17,0.58,0.79,40.71,0.8562,0.73
India,2015,891.16,31344.41,54.96,59.43,51.47,16.27,1657.07,0.11,0.55,0.59,32.26,1.8595,0.93
USA,2008,105.49,15888.07,47.87,77.24,36.39,17.15,3710.16,0.28,0.48,0.77,46.46,35.1707,0.62
Russia,2021,6122.36,22323.57,26.88,54.93,42.07,25.63,2997.02,0.07,0.27,0.55,32.30,0.4895,0.49
Australia,2003,3685.27,18319.94,24.24,66.64,26.24,33.28,2434.27,0.46,0.24,0.67,40.48,0.6605,0.36
Russia,2001,7547.88,32592.65,51.71,19.23,39,12.32,548.9,0.4,0.52,0.19,48.68,0.0727,2.74
Japan,2013,3814.25,23770.93,10.97,57.78,50.46,30.63,390.87,0.5,0.11,0.58,18.91,0.1025,0.19
Brazil,2002,4911.43,48191.2,11.33,75.18,37.78,13.09,2578.54,0.5,0.11,0.75,49.13,0.5250,0.15
India,2017,4130.14,17942.95,52.67,47.8,42.31,35.32,3116.19,0.38,0.53,0.48,22.37,0.7545,1.10
Brazil,2020,6540.69,37144.07,83.18,23.08,48.07,25.96,3304.68,0.4,0.83,0.23,25.97,0.5052,3.61
Brazil,2005,3625.78,13235.98,82.71,46.88,35.56,39.69,4479.71,0.29,0.83,0.47,24.75,1.2355,1.77
Brazil,2010,9641.3,25683.28,5.92,59.49,34.13,32.59,4090.31,0.15,0.06,0.59,33.28,0.4242,0.10
India,2020,9367.86,27852.2,14.13,63.89,23.43,24.92,746.77,0.41,0.14,0.64,51.65,0.0797,0.22
UK,2017,8495.48,16790.91,54.56,46.66,43.29,14.24,3982.43,0.17,0.55,0.47,42.47,0.4688,1.17
Germany,2011,9210.97,23853.14,77.12,25.22,48.28,26.27,3397.7,0.34,0.77,0.25,25.45,0.3689,3.08
Japan,2004,4546.48,14324.29,86.13,74.87,43.25,13.43,4148.74,0.38,0.86,0.75,43.32,0.9125,1.15
UK,2008,5410.66,797.04,78.15,64.15,31.34,37.15,4224.61,0.3,0.78,0.64,31.51,0.7808,1.22
Japan,2019,7446.72,11174.59,62.6,28.95,30.49,16.9,1760.39,0.35,0.63,0.29,52.61,0.2364,2.17
China,2017,6991.84,35153.18,22.04,66.83,26.38,35.96,1353.18,0.18,0.22,0.67,37.66,0.1935,0.33
Russia,2018,8917.72,38662.67,11.17,34.35,21.88,19.12,2785.54,0.39,0.11,0.34,59.00,0.3124,0.32
Russia,2002,7191.68,14370.04,9.04,31.87,37.08,16.66,1528.11,0.47,0.09,0.32,46.26,0.2125,0.28
Canada,2008,9979.06,20698.13,57.03,70.42,26.42,19.13,1780.94,0.27,0.57,0.70,54.45,0.1785,0.81
Russia,2003,3550.21,2349.6,8.08,71.13,47.63,31.23,392.34,0.1,0.08,0.71,21.14,0.1105,0.11
India,2016,8346.68,12234.61,67.84,37.89,58.47,25.76,4957.25,0.33,0.68,0.38,15.77,0.5939,1.79
Australia,2016,7006.58,39071.35,65.56,10.62,22.94,13.22,1581.02,0.2,0.66,0.11,63.84,0.2256,6.00
USA,2022,6944.73,30496.32,11.77,23.06,55.72,14.11,3911.36,0.24,0.12,0.23,30.17,0.5632,0.52
Canada,2022,3325.77,10685.64,82.06,73.65,46.31,21.36,4966.13,0.12,0.82,0.74,32.33,1.4932,1.11
USA,2001,7877.46,13243.38,49.36,72.91,54.41,20.16,4847.17,0.33,0.49,0.73,25.43,0.6153,0.67
Japan,2008,9013.72,40931.7,81.88,41.73,26.2,35.55,3187.72,0.4,0.82,0.42,38.25,0.3537,1.95
USA,2008,2263.63,10849.67,81.64,31.29,56.26,27.17,2716.37,0.39,0.82,0.31,16.57,1.2000,2.65
USA,2004,6292.42,17040.81,21.75,31.19,58.31,15.6,1580.92,0.5,0.22,0.31,26.09,0.2512,0.71
Canada,2014,3982.13,33385.76,37.35,72.8,56.27,10.85,4314.46,0.15,0.37,0.73,32.88,1.0835,0.51
China,2014,9896.53,28275.06,16.44,32.73,51.42,13.07,1723.08,0.46,0.16,0.33,35.51,0.1741,0.48
Brazil,2002,4840.44,23313.08,70.87,45.81,23.61,31.01,578.28,0.38,0.71,0.46,45.38,0.1195,1.54
Russia,2018,2360.37,45037.18,47.85,61.17,28.83,35.41,1505.79,0.37,0.48,0.61,35.76,0.6379,0.79
Russia,2002,3880.39,11375.67,83.95,24.66,56.53,33.48,1609.73,0.36,0.84,0.25,9.99,0.4148,3.36
India,2005,6573,37200.28,22.7,27.77,29.18,33.7,3606.5,0.29,0.23,0.28,37.12,0.5487,0.82
Canada,2003,853.28,8373.66,63.51,35.06,33.91,17.83,889.23,0.22,0.64,0.35,48.26,1.0421,1.83
India,2023,6075.66,30978.82,89.09,55.8,22.02,39.67,1618.47,0.47,0.89,0.56,38.31,0.2664,1.59
Australia,2012,9319.13,43595.87,61.56,67.22,45.12,12.59,429.1,0.12,0.62,0.67,42.29,0.0460,0.93
Australia,2012,8518.59,23166.14,10.85,48.27,42.53,34.63,4249.59,0.13,0.11,0.48,22.84,0.4989,0.23
India,2010,769.97,36352.58,55.02,19.31,58.47,12.9,3637.64,0.06,0.55,0.19,28.63,4.7244,2.89
Canada,2004,9934.56,41109.47,20.29,41.24,55.69,18.03,2215.56,0.38,0.20,0.41,26.28,0.2230,0.49
India,2000,7017.4,7233.31,7.59,18.94,40.24,24.86,2178.58,0.45,0.08,0.19,34.90,0.3105,0.42
Russia,2008,1706.58,35438.43,33.47,16.18,44.37,11.6,873.54,0.13,0.33,0.16,44.03,0.5119,2.06
UK,2016,222.92,46032.13,27.62,51.27,36.53,21.83,1953.14,0.07,0.28,0.51,41.64,8.7616,0.55
Germany,2021,1795.7,29030.35,72.05,76.93,25.3,20.5,4538.78,0.16,0.72,0.77,54.20,2.5276,0.94
USA,2000,8397.94,9713.05,36.76,68.63,54.71,29.42,736.36,0.45,0.37,0.69,15.87,0.0877,0.54
Germany,2002,314.23,6783.66,67.3,64.21,41.98,31.54,3836.89,0.06,0.67,0.64,26.48,12.2105,1.05
Canada,2014,2408.16,13356.9,6.38,60.89,37.02,12.71,283.52,0.1,0.06,0.61,50.27,0.1177,0.10
Germany,2020,7597.33,5623.91,6.26,72.8,22.74,11.14,1592.81,0.06,0.06,0.73,66.12,0.2097,0.08
Australia,2022,5902.49,25913.01,7.49,62.7,46.62,33.28,4242.34,0.47,0.07,0.63,20.10,0.7187,0.11
Japan,2009,7849.08,3950.38,23.65,53.88,35.99,25.84,2252.67,0.11,0.24,0.54,38.17,0.2870,0.44
USA,2007,7486.89,11558.53,36.79,35.53,30.15,26.04,3528.34,0.46,0.37,0.36,43.81,0.4713,1.03
Brazil,2011,600.95,22275.57,56.67,17.07,55.07,39.42,562.53,0.26,0.57,0.17,5.51,0.9361,3.35
Canada,2024,8935.86,23958.78,88.8,42.27,27.35,23.13,3432.96,0.23,0.89,0.42,49.52,0.3842,2.12
USA,2021,2347.62,28487.23,35.12,74.73,40.6,15.89,4104.15,0.24,0.35,0.75,43.51,1.7482,0.47
Germany,2014,5578.59,35427.94,9.73,50.82,51.83,30.42,4035.97,0.24,0.10,0.51,17.75,0.7235,0.20
Australia,2008,6478.45,2837.82,21.57,22.92,53.96,34.47,2222.41,0.2,0.22,0.23,11.57,0.3430,0.96
China,2023,1769.42,4490.74,81.32,55.43,52.75,25.07,4525.5,0.41,0.81,0.55,22.18,2.5576,1.47
UK,2024,9764.69,3512.53,64.45,42.58,55.87,30.75,2896.13,0.28,0.64,0.43,13.38,0.2966,1.49
Brazil,2009,4932.74,21445.94,72.17,75.2,25.69,25.42,4098.47,0.5,0.72,0.75,48.89,0.8309,0.96
UK,2019,670.66,2571.47,15.55,21.27,57.62,22.22,1106.62,0.28,0.16,0.21,20.16,1.6500,0.76
USA,2008,9378.89,37431.02,16.47,59.84,20.43,11.03,1090.69,0.42,0.16,0.60,68.54,0.1163,0.27
Australia,2014,5904.05,11538.51,14.54,57.71,30.24,15.21,3784.09,0.39,0.15,0.58,54.55,0.6409,0.26
Australia,2022,7022.01,46991.02,77.86,78.85,23.36,24.39,3250.84,0.23,0.78,0.79,52.25,0.4630,0.99
Germany,2020,5299.24,24576.99,22.85,49.54,57.82,21.9,3397.73,0.4,0.23,0.50,20.28,0.6412,0.46
Russia,2020,8363.91,22593.12,59.67,71.01,36.96,35.29,1221.02,0.12,0.60,0.71,27.75,0.1460,0.85
Germany,2000,428.02,39136.67,48.87,11.73,32.61,13.25,2028.13,0.14,0.49,0.12,54.14,4.7384,4.08
Russia,2001,2756.95,35801.12,51.27,18.6,26.68,11.5,1328.98,0.33,0.51,0.19,61.82,0.4820,2.68
Russia,2018,4749.52,30561.8,21.61,34.22,26.23,12.61,387.22,0.37,0.22,0.34,61.16,0.0815,0.65
Brazil,2013,858.38,46789.76,59,53.35,44.56,30.34,1059.51,0.34,0.59,0.53,25.10,1.2343,1.11
Germany,2007,7088.48,21401.83,8.66,41.44,21.88,27.83,4976.06,0.28,0.09,0.41,50.29,0.7020,0.22
China,2005,3997.27,40522.32,89.45,24.19,43.77,28.97,1208.51,0.11,0.89,0.24,27.26,0.3023,3.71
India,2011,2799.41,19314.6,7.27,51.24,50.99,14.71,838.5,0.22,0.07,0.51,34.30,0.2995,0.14
India,2014,133.45,41998.11,9.26,49.67,44.04,25.49,3499.54,0.32,0.09,0.50,30.47,26.2236,0.18
Germany,2013,7226.32,13343.99,32.6,46.71,53.06,33.03,3030.61,0.15,0.33,0.47,13.91,0.4194,0.70
Germany,2020,8354.71,14818.72,75.69,16.34,30.61,30.52,3742.76,0.34,0.76,0.16,38.87,0.4480,4.75
UK,2000,4010.9,34054.54,26.86,74.89,23.09,23.16,3285.68,0.16,0.27,0.75,53.75,0.8192,0.36
Brazil,2010,5685.76,11029.31,45.11,51.46,48.84,13.11,1153.82,0.09,0.45,0.51,38.05,0.2029,0.88
Germany,2024,2354.1,11843.13,6.53,28.48,53.13,36.12,2529.48,0.2,0.07,0.28,10.75,1.0745,0.25
UK,2002,6259.76,15610.49,11.7,58.12,40.07,25.79,924.38,0.17,0.12,0.58,34.14,0.1477,0.21
Russia,2018,220.16,34106.97,56.68,32.25,52.82,36.69,1305.01,0.41,0.57,0.32,10.49,5.9276,1.78
Australia,2017,4937.57,44524.71,21.52,45.41,38.32,23.16,4935.24,0.27,0.22,0.45,38.52,0.9995,0.49
Australia,2019,6477.63,33891.1,64.01,33.88,27.94,17.11,3656.97,0.08,0.64,0.34,54.95,0.5646,1.88
Russia,2001,9190.1,41476.81,71.76,71.63,38.98,19.22,3925.11,0.42,0.72,0.72,41.80,0.4271,1.00
Canada,2024,3875.22,27406.25,77.28,79.58,28.64,22.54,198.79,0.17,0.77,0.80,48.82,0.0513,0.96
UK,2006,7675.38,3911.7,16.37,21.28,38.88,28.43,1941.56,0.31,0.16,0.21,32.69,0.2530,0.76
UK,2007,6017.1,5473.08,43.72,11.65,25.9,33.07,2798.48,0.29,0.44,0.12,41.03,0.4651,3.67
Russia,2018,9277.42,27942.4,85.5,25.35,27.42,17.28,790.89,0.49,0.86,0.25,55.30,0.0852,3.44
China,2021,4043.94,16726.15,70.63,51.3,55.32,15.63,4250.3,0.16,0.71,0.51,29.05,1.0510,1.39
Japan,2014,3259.04,11418.12,14.94,22.18,24.63,16.08,741.02,0.12,0.15,0.22,59.29,0.2274,0.68
USA,2009,8882.71,23579.72,47.71,66.8,28.97,38.03,3200.7,0.17,0.48,0.67,33.00,0.3603,0.72
Russia,2021,587.52,33491.59,83.4,38.61,59.82,14.92,2788.28,0.31,0.83,0.39,25.26,4.7458,2.13
Germany,2000,1450.22,19557.1,42.4,52.74,43.04,20.37,4254.1,0.15,0.42,0.53,36.59,2.9334,0.79
Germany,2005,915.8,40225.84,76.18,41.89,43.43,24.58,1593.46,0.2,0.76,0.42,31.99,1.7400,1.81
Brazil,2012,8446.79,37056.9,47.15,73.23,53.8,26.69,1456.21,0.35,0.47,0.73,19.51,0.1724,0.64
Russia,2013,205.01,36878.29,14.08,12.46,40.97,35.74,4239.74,0.1,0.14,0.12,23.29,20.6806,1.17
Brazil,2002,8630.41,49266.89,17.57,61.05,28.87,13.39,1145.96,0.48,0.18,0.61,57.74,0.1328,0.30
Russia,2010,4567.55,15113.88,8.97,55.65,36.9,13.24,3742.9,0.29,0.09,0.56,49.86,0.8195,0.16
UK,2002,139.85,32413.92,21.6,55.47,50.2,19.49,996.17,0.27,0.22,0.55,30.31,7.1231,0.40
USA,2018,4076.29,42846.18,80.96,38.98,54.9,22.4,4384.69,0.21,0.81,0.39,22.70,1.0757,2.08
UK,2009,1949.33,29186.46,60.27,11.1,30.93,21.21,4203.36,0.16,0.60,0.11,47.86,2.1563,5.45
Japan,2014,6281.56,39580.36,67.8,58.25,30.48,21.76,3947.94,0.27,0.68,0.58,47.76,0.6285,1.17
Australia,2010,6825.65,21015.38,57.84,68.06,33.1,35.54,2482.78,0.27,0.58,0.68,31.36,0.3637,0.85
India,2014,4926.52,29729.32,37.86,15.97,43.85,35.1,217.5,0.08,0.38,0.16,21.05,0.0441,2.38
Russia,2023,501.14,3255.49,23.43,40.91,31.14,34.17,705.7,0.43,0.23,0.41,34.69,1.4082,0.56
Japan,2012,6595.68,49295.5,83.68,21.38,55.73,32.66,2310.2,0.42,0.84,0.21,11.61,0.3503,4.00
Australia,2004,8436.18,40100.91,48.76,52.77,59.12,11.21,266.06,0.25,0.49,0.53,29.67,0.0315,0.92
Canada,2003,7231.21,43506.05,45.89,64.99,47.16,14.48,364.19,0.2,0.46,0.65,38.36,0.0504,0.71
USA,2012,8316.58,34867.57,89.67,56.67,58.81,31.97,671.24,0.27,0.90,0.57,9.22,0.0807,1.58
Brazil,2008,2085.04,9709.48,37.63,32.26,31.51,27.85,1341.19,0.15,0.38,0.32,40.64,0.6432,1.19
Brazil,2024,8899.99,2035.91,77.6,19.78,52.61,30.22,3759.15,0.05,0.78,0.20,17.17,0.4224,3.90
UK,2016,3289.72,43300.5,78.3,65.6,47.14,31.51,287.51,0.21,0.78,0.66,21.35,0.0874,1.18
Germany,2001,232.71,20118.37,24.78,32.67,30.53,37.34,4919.02,0.06,0.25,0.33,32.13,21.1380,0.76
Australia,2023,8449.58,13561.31,13.06,11.55,32.74,29.05,1405.46,0.07,0.13,0.12,38.21,0.1663,1.08
Canada,2004,9424.03,28302.81,87.93,50,39.55,18.27,1634.98,0.06,0.88,0.50,42.18,0.1735,1.76
Japan,2015,6590.03,21334.48,41.2,27.27,51.67,12.49,1277.03,0.45,0.41,0.27,35.84,0.1938,1.52
USA,2006,2391.22,32757.47,5.19,68.88,54.89,22.96,3031.83,0.11,0.05,0.69,22.15,1.2679,0.07
Australia,2000,2592.27,24447.77,47.42,20.03,45.36,31.3,146.16,0.16,0.47,0.20,23.34,0.0564,2.35
Canada,2011,4719.27,35013.04,57.64,40.44,48.86,18.46,513.17,0.27,0.58,0.40,32.68,0.1087,1.45
India,2020,8988.53,42744.45,70.97,27.72,30.55,13.6,538.95,0.29,0.71,0.28,55.85,0.0600,2.54
Russia,2010,1581.02,10180.07,85.15,58.27,49.64,39.96,3339.44,0.1,0.85,0.58,10.40,2.1122,1.47
Brazil,2011,8277.14,16806.93,82.79,48.4,44.2,22.57,1681.13,0.46,0.83,0.48,33.23,0.2031,1.73
Japan,2018,2983.9,22122.37,84.91,65.37,28.92,16.49,2215.6,0.15,0.85,0.65,54.59,0.7425,1.31
Brazil,2011,8105,48121.89,7.73,42.1,58.01,14.94,4752.37,0.47,0.08,0.42,27.05,0.5864,0.19
Japan,2011,9210.68,18584.01,65.5,10.34,40.51,35.88,1040.21,0.17,0.66,0.10,23.61,0.1129,6.60
UK,2013,4332.19,19364.44,24.2,25.06,51.78,34.59,397.47,0.05,0.24,0.25,13.63,0.0917,0.96
Germany,2001,3714,32846.89,20.94,79.94,41.02,28.4,2235.04,0.49,0.21,0.80,30.58,0.6018,0.26
Japan,2001,8041.99,21250.39,73.03,38.37,57.32,26.42,862.16,0.27,0.73,0.38,16.26,0.1072,1.92
Brazil,2024,5341.88,47585.58,40.46,53.42,25.65,38.54,766.05,0.45,0.40,0.53,35.81,0.1434,0.75
UK,2003,6876.05,44776.2,82.91,73.35,41.85,16.85,2080.15,0.38,0.83,0.73,41.30,0.3025,1.14
Japan,2019,6266.01,25913.73,8.61,11.44,21.01,22.46,3364.77,0.13,0.09,0.11,56.53,0.5370,0.82
India,2022,1613.6,32416.37,73.19,56.17,27.9,10.74,1252.12,0.43,0.73,0.56,61.36,0.7760,1.30
Germany,2015,8463.42,3372.51,16.63,30.19,31.24,22.56,4386.02,0.07,0.17,0.30,46.20,0.5182,0.57
Japan,2009,2038.17,34938.66,20.01,29.55,38.9,21.53,1844.12,0.28,0.20,0.30,39.57,0.9048,0.67
UK,2012,9329.59,35506.44,45.57,25.74,52.81,38.48,4673.54,0.16,0.46,0.26,8.71,0.5009,1.77
Australia,2001,2580.66,18280.37,38.63,67.59,38.67,20.75,2487.36,0.21,0.39,0.68,40.58,0.9638,0.57
China,2002,7365.42,11374.3,46.32,36.11,42.45,35.04,3647.35,0.39,0.46,0.36,22.51,0.4952,1.28
Canada,2018,2918.09,45796.38,84.9,14.7,56.96,33,4252.63,0.36,0.85,0.15,10.04,1.4573,5.67
China,2005,3246.08,21621.89,60.88,16.78,50.26,14.42,2672.11,0.25,0.61,0.17,35.32,0.8232,3.59
China,2018,3169.02,32858.45,29.68,20.4,22.01,38.88,4259.1,0.07,0.30,0.20,39.11,1.3440,1.50
USA,2020,7504.13,2149.78,19.7,72.92,27.06,28.93,1921.01,0.07,0.20,0.73,44.01,0.2560,0.27
India,2019,5612.47,20996.32,40.7,39.92,21.53,27.9,1848.85,0.37,0.41,0.40,50.57,0.3294,1.03
Australia,2018,8841.23,40954.31,43.39,74.12,22.76,10.35,3980.61,0.48,0.43,0.74,66.89,0.4502,0.58
Russia,2007,3142.99,19685.01,56.11,67.22,33.55,30.98,1244.29,0.43,0.56,0.67,35.47,0.3959,0.84
Japan,2013,6950.73,30356.48,27.61,68.65,49.11,11.67,3599.34,0.1,0.28,0.69,39.22,0.5178,0.41
Canada,2009,7554.19,10887.86,70.24,30.08,29.77,15.56,431.58,0.1,0.70,0.30,54.67,0.0571,2.33
Germany,2002,1599.67,21118.02,13.37,28.99,35.69,12.96,3196.34,0.32,0.13,0.29,51.35,1.9981,0.45
Australia,2005,4065.83,46418.07,52.64,49.2,35.75,21.35,4712.45,0.35,0.53,0.49,42.90,1.1590,1.08
Brazil,2014,4879.89,28539.36,58,39.25,43.61,33.87,2309.51,0.33,0.58,0.39,22.52,0.4733,1.49
Russia,2022,3621.31,45145.61,22.58,45.63,55.72,31.22,2109.03,0.45,0.23,0.46,13.06,0.5824,0.50
USA,2022,3288.91,45149.96,75.21,13.72,59.33,13.2,2725.68,0.15,0.75,0.14,27.47,0.8287,5.36
USA,2017,6895.56,47235.32,57.31,78.01,44.18,33.95,3611.85,0.13,0.57,0.78,21.87,0.5238,0.73
